BehaviorSpace results (NetLogo 6.4.0),Spreadsheet version 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champiñones.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2024 16:23:04:487 -0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45,46,46,46,47,47,47,48,48,48,49,49,49,50,50,50
[reporter],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow]
[final],100,61,14,100,62,16,100,55,23,100,55,23,100,53,24,100,51,21,100,59,9,100,61,19,100,65,13,100,63,12,100,54,22,100,64,10,100,69,11,100,63,12,100,74,5,100,54,21,100,58,19,100,67,12,100,57,22,100,71,9,100,63,13,100,58,17,100,70,7,100,66,12,100,55,20,100,57,23,100,70,7,100,56,21,100,66,14,100,69,11,100,59,18,100,69,6,100,54,22,100,63,17,100,68,11,100,71,9,100,52,25,100,65,15,100,62,18,100,69,11,100,61,12,100,61,15,100,61,16,100,71,6,100,67,13,100,62,13,100,57,20,100,52,20,100,63,14,100,64,13
[min],0,61,0,0,62,0,0,55,0,0,55,0,0,53,0,0,51,0,0,59,0,0,61,0,0,65,0,0,63,0,0,54,0,0,64,0,0,69,0,0,63,0,0,74,0,0,54,0,0,58,0,0,67,0,0,57,0,0,71,0,0,63,0,0,58,0,0,70,0,0,66,0,0,55,0,0,57,0,0,70,0,0,56,0,0,66,0,0,69,0,0,59,0,0,69,0,0,54,0,0,63,0,0,68,0,0,71,0,0,52,0,0,65,0,0,62,0,0,69,0,0,61,0,0,61,0,0,61,0,0,71,0,0,67,0,0,62,0,0,57,0,0,52,0,0,63,0,0,64,0
[max],100,75,14,100,78,16,100,78,23,100,78,23,100,77,24,100,72,21,100,68,9,100,80,19,100,78,13,100,75,12,100,76,22,100,74,10,100,80,11,100,75,12,100,79,5,100,75,21,100,77,19,100,79,12,100,79,22,100,80,9,100,76,13,100,75,17,100,77,7,100,78,12,100,75,20,100,80,23,100,77,7,100,77,21,100,80,14,100,80,11,100,77,18,100,75,6,100,76,22,100,80,17,100,79,11,100,80,9,100,77,25,100,80,15,100,80,18,100,80,11,100,73,12,100,76,15,100,77,16,100,77,6,100,80,13,100,75,13,100,77,20,100,72,20,100,77,14,100,77,13
[mean],50,72.02970297,2.97029703,50,73.37623762,4.623762376,50,65.97029703,12.02970297,50,66.48514851,11.51485149,50,65.06930693,11.93069307,50,64,8,50,62.74257426,5.257425743,50,70.67326733,9.326732673,50,72.08910891,5.910891089,50,69.31683168,5.683168317,50,64.05940594,11.94059406,50,68.42574257,5.574257426,50,73.55445545,6.445544554,50,69.89108911,5.108910891,50,76.52475248,2.475247525,50,61.63366337,13.36633663,50,66.34653465,10.65346535,50,73.30693069,5.693069307,50,67.10891089,11.89108911,50,76,4,50,73.06930693,2.930693069,50,67.63366337,7.366336634,50,74.34653465,2.653465347,50,73.27722772,4.722772277,50,65.35643564,9.643564356,50,68.66336634,11.33663366,50,74.02970297,2.97029703,50,65.56435644,11.43564356,50,70.47524752,9.524752475,50,74.01980198,5.98019802,50,68.15841584,8.841584158,50,72.67326733,2.326732673,50,65.31683168,10.68316832,50,67.71287129,12.28712871,50,73.42574257,5.574257426,50,75.6039604,4.396039604,50,64.3960396,12.6039604,50,70.62376238,9.376237624,50,70.48514851,9.514851485,50,75.36633663,4.633663366,50,65.4950495,7.504950495,50,65.51485149,10.48514851,50,68.95049505,8.04950495,50,73.9009901,3.099009901,50,73.3960396,6.603960396,50,68.14851485,6.851485149,50,64.37623762,12.62376238,50,62.69306931,9.306930693,50,66.83168317,10.16831683,50,69.79207921,7.207920792
[total steps],100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow],[step],count patches with [pcolor = red],count patches with [pcolor = yellow]
,0,75,0,0,78,0,0,78,0,0,78,0,0,77,0,0,72,0,0,68,0,0,80,0,0,78,0,0,75,0,0,76,0,0,74,0,0,80,0,0,75,0,0,79,0,0,75,0,0,77,0,0,79,0,0,79,0,0,80,0,0,76,0,0,75,0,0,77,0,0,78,0,0,75,0,0,80,0,0,77,0,0,77,0,0,80,0,0,80,0,0,77,0,0,75,0,0,76,0,0,80,0,0,79,0,0,80,0,0,77,0,0,80,0,0,80,0,0,80,0,0,73,0,0,76,0,0,77,0,0,77,0,0,80,0,0,75,0,0,77,0,0,72,0,0,77,0,0,77,0
